sample	unit	fq1	fq2	parhap
LR00014	KFRAG_00475	KFRAG_00475_1.fastq.gz	KFRAG_00475_2.fastq.gz	mother
LR00026	KFRAG_00476	KFRAG_00476_1.fastq.gz	KFRAG_00476_2.fastq.gz	mother
WA077	KFRAG_00477	KFRAG_00477_1.fastq.gz	KFRAG_00477_2.fastq.gz	mother
WA077	KFRAG_01450	KFRAG_01450H-1.fq.gz	KFRAG_01450H-2.fq.gz	mother
Atlantic	SRR2070063	SRR2070063_1.fastq.gz	SRR2070063_2.fastq.gz	mother
Atlantic	SRR2070065	SRR2070065_1.fastq.gz	SRR2070065_2.fastq.gz	mother
DM1_3	SRR2069932	SRR2069932_1.fastq.gz	SRR2069932_2.fastq.gz	mother
IVP101	SRR6123183	SRR6123183_1.fastq.gz	SRR6123183_2.fastq.gz	inducer
IVP35	KFRAG_00467	KFRAG_00467_1.fastq.gz	KFRAG_00467_2.fastq.gz	inducer
PL4	SRR6123031	SRR6123031_1.fastq.gz	SRR6123031_2.fastq.gz	inducer
Desiree	KFRAG_01506	KFRAG_01506-1.fq.gz	KFRAG_01506-2.fq.gz	mother
Desiree	KFRAG_01506_b	KFRAG_01506_b-1.fq.gz	KFRAG_01506_b-2.fq.gz	mother
